record_type,species,match_status,model_status,skip_reason,scenario,gcm,province,cell_threshold,suitable_cell_count,suitable_area_km2,province_total_area_km2,suitable_area_prop_of_species,suitable_area_prop_of_province,presence_flag
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,江苏省,20,128,2342.596199161931,102736.86676680206,0.014493843368177849,0.022801904251949674,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,江西省,20,488,9395.875693737393,167050.58408785737,0.014493843368177849,0.0562456919563705,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,河南省,20,3061,54383.86922981919,165591.59008387194,0.014493843368177849,0.32842168616337236,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,浙江省,20,535,9966.722316773543,104159.37596561894,0.014493843368177849,0.09568723146021316,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,海南省,20,1653,33407.57346558376,40083.43316462411,0.014493843368177849,0.8334509004849371,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,湖北省,20,1807,32896.697025643385,185936.23455607134,0.014493843368177849,0.17692461667939707,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,湖南省,20,1253,23996.620062662198,212031.06107909585,0.014493843368177849,0.1131750222846384,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,甘肃省,20,17783,305532.80632066727,425531.4817733489,0.014493843368177849,0.7180028256602726,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,福建省,20,966,18775.669325977757,122484.33467498337,0.014493843368177849,0.15329037281216146,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,西藏自治区,20,63124,1152029.456379907,1202248.13359162,0.014493843368177849,0.9582293573110496,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,重庆市,20,71,1293.3241990803117,82424.43806740544,0.014493843368177849,0.015691028406194907,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,陕西省,20,8672,153612.1233543805,205650.2106262032,0.014493843368177849,0.7469582593017186,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,青海省,20,39968,696711.8656031291,696799.7448540932,0.014493843368177849,0.9998738816257999,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,香港特别行政区,20,50,989.9291175841201,1081.5917495829606,0.014493843368177849,0.9152520976290882,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,上海市,50,309,5672.306379902622,7206.952766383157,0.014493843368177849,0.7870602963240032,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,云南省,50,7210,138846.80928153257,383270.9646060982,0.014493843368177849,0.36226800906828566,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,内蒙古自治区,50,518,8737.826013192582,1145885.244530134,0.014493843368177849,0.007625393602808365,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,台湾省,50,746,14603.787004928996,36351.44194848129,0.014493843368177849,0.40173886432417355,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,四川省,50,15917,292344.5764917104,485830.5974072148,0.014493843368177849,0.6017417965272208,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,宁夏回族自治区,50,1832,31532.0978396254,51983.14077447038,0.014493843368177849,0.6065831608064597,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,山东省,50,108,1848.4687431210248,155733.4041517852,0.014493843368177849,0.011869442867372366,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,山西省,50,2728,47273.02426338446,156665.6384184655,0.014493843368177849,0.30174468850096353,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,广东省,50,5091,100502.28551913226,178715.97296891178,0.014493843368177849,0.5623575993211024,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,50,3281,64733.208803892296,236490.79679029615,0.014493843368177849,0.27372400821708626,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,50,33053,550775.3209197888,1630319.3783117495,0.014493843368177849,0.3378327757412386,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,江苏省,50,128,2342.596199161931,102736.86676680206,0.014493843368177849,0.022801904251949674,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,江西省,50,488,9395.875693737393,167050.58408785737,0.014493843368177849,0.0562456919563705,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,河南省,50,3061,54383.86922981919,165591.59008387194,0.014493843368177849,0.32842168616337236,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,浙江省,50,535,9966.722316773543,104159.37596561894,0.014493843368177849,0.09568723146021316,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,海南省,50,1653,33407.57346558376,40083.43316462411,0.014493843368177849,0.8334509004849371,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,湖北省,50,1807,32896.697025643385,185936.23455607134,0.014493843368177849,0.17692461667939707,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,湖南省,50,1253,23996.620062662198,212031.06107909585,0.014493843368177849,0.1131750222846384,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,甘肃省,50,17783,305532.80632066727,425531.4817733489,0.014493843368177849,0.7180028256602726,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,福建省,50,966,18775.669325977757,122484.33467498337,0.014493843368177849,0.15329037281216146,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,西藏自治区,50,63124,1152029.456379907,1202248.13359162,0.014493843368177849,0.9582293573110496,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,重庆市,50,71,1293.3241990803117,82424.43806740544,0.014493843368177849,0.015691028406194907,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,陕西省,50,8672,153612.1233543805,205650.2106262032,0.014493843368177849,0.7469582593017186,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,青海省,50,39968,696711.8656031291,696799.7448540932,0.014493843368177849,0.9998738816257999,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,香港特别行政区,50,50,989.9291175841201,1081.5917495829606,0.014493843368177849,0.9152520976290882,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,上海市,100,309,5672.306379902622,7206.952766383157,0.014502668383629652,0.7870602963240032,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,云南省,100,7210,138846.80928153257,383270.9646060982,0.014502668383629652,0.36226800906828566,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,内蒙古自治区,100,518,8737.826013192582,1145885.244530134,0.014502668383629652,0.007625393602808365,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,台湾省,100,746,14603.787004928996,36351.44194848129,0.014502668383629652,0.40173886432417355,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,四川省,100,15917,292344.5764917104,485830.5974072148,0.014502668383629652,0.6017417965272208,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,宁夏回族自治区,100,1832,31532.0978396254,51983.14077447038,0.014502668383629652,0.6065831608064597,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,山东省,100,108,1848.4687431210248,155733.4041517852,0.014502668383629652,0.011869442867372366,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,山西省,100,2728,47273.02426338446,156665.6384184655,0.014502668383629652,0.30174468850096353,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,广东省,100,5091,100502.28551913226,178715.97296891178,0.014502668383629652,0.5623575993211024,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,100,3281,64733.208803892296,236490.79679029615,0.014502668383629652,0.27372400821708626,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,100,33053,550775.3209197888,1630319.3783117495,0.014502668383629652,0.3378327757412386,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,江苏省,100,128,2342.596199161931,102736.86676680206,0.014502668383629652,0.022801904251949674,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,江西省,100,488,9395.875693737393,167050.58408785737,0.014502668383629652,0.0562456919563705,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,河南省,100,3061,54383.86922981919,165591.59008387194,0.014502668383629652,0.32842168616337236,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,浙江省,100,535,9966.722316773543,104159.37596561894,0.014502668383629652,0.09568723146021316,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,海南省,100,1653,33407.57346558376,40083.43316462411,0.014502668383629652,0.8334509004849371,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,湖北省,100,1807,32896.697025643385,185936.23455607134,0.014502668383629652,0.17692461667939707,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,湖南省,100,1253,23996.620062662198,212031.06107909585,0.014502668383629652,0.1131750222846384,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,甘肃省,100,17783,305532.80632066727,425531.4817733489,0.014502668383629652,0.7180028256602726,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,福建省,100,966,18775.669325977757,122484.33467498337,0.014502668383629652,0.15329037281216146,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,西藏自治区,100,63124,1152029.456379907,1202248.13359162,0.014502668383629652,0.9582293573110496,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,陕西省,100,8672,153612.1233543805,205650.2106262032,0.014502668383629652,0.7469582593017186,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,青海省,100,39968,696711.8656031291,696799.7448540932,0.014502668383629652,0.9998738816257999,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,上海市,200,309,5672.306379902622,7206.952766383157,0.01451889529175522,0.7870602963240032,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,云南省,200,7210,138846.80928153257,383270.9646060982,0.01451889529175522,0.36226800906828566,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,内蒙古自治区,200,518,8737.826013192582,1145885.244530134,0.01451889529175522,0.007625393602808365,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,台湾省,200,746,14603.787004928996,36351.44194848129,0.01451889529175522,0.40173886432417355,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,四川省,200,15917,292344.5764917104,485830.5974072148,0.01451889529175522,0.6017417965272208,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,宁夏回族自治区,200,1832,31532.0978396254,51983.14077447038,0.01451889529175522,0.6065831608064597,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,山西省,200,2728,47273.02426338446,156665.6384184655,0.01451889529175522,0.30174468850096353,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,广东省,200,5091,100502.28551913226,178715.97296891178,0.01451889529175522,0.5623575993211024,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,广西壮族自治区,200,3281,64733.208803892296,236490.79679029615,0.01451889529175522,0.27372400821708626,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,新疆维吾尔自治区,200,33053,550775.3209197888,1630319.3783117495,0.01451889529175522,0.3378327757412386,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,江西省,200,488,9395.875693737393,167050.58408785737,0.01451889529175522,0.0562456919563705,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,河南省,200,3061,54383.86922981919,165591.59008387194,0.01451889529175522,0.32842168616337236,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,浙江省,200,535,9966.722316773543,104159.37596561894,0.01451889529175522,0.09568723146021316,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,海南省,200,1653,33407.57346558376,40083.43316462411,0.01451889529175522,0.8334509004849371,TRUE
potential_province,Ardenna pacifica,matched,modeled,NA,current,ensemble_mean,湖北省,200,1807,32896.697025643385,185936.23455607134,0.01451889529175522,0.17692461667939707,TRUE
